ID,VMSID,PrimaryLocation,PrimaryDirection,SecondaryLocation,City,County,AIMSID,AIMSLocationName,Region,Milepost,Latitude.x,Longitude.x,IPAddress,VMSLabel,Make,Model,LifeSpanYrs,Availability,Repairability,DateInstalled,EndOfLife,EquipmentNumber,StationID,StationName,ModemPhoneNumber,HasRadar,ITSID,X,Latitude.y,Longitude.y
191,100181,I-15,NB,Milepost 90.05,NA,RN,16448,"I-15 NB @ Milepost 90.05, RN",R4,90.05, 38.013197°,-112.719899°,166.154.213.151:161,"I-15 NB @ Milepost 90.05, RN",NA,NA,NA,FALSE,FALSE,3/1/2014,NA,NA,NA,NA,NA,FALSE,NA,100181,38.017388,-112.717684
192,100182,Canyon Rd / SR-143,SB,Parowan / MP 3.94,PWN,RN,6478,"Canyon Rd / SR-143 SB @ Parowan / MP 3.94, PWN",R4,3.94, 37.829725°,-112.814967°,166.241.153.252:5000,"Canyon Rd / SR-143 SB @ Parowan / MP 3.94, PWN",NA,NA,NA,FALSE,FALSE,3/1/2014,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
193,100183,SR-153,EB,Beaver / MP 2.79,NA,BV,6479,"SR-153 EB @ Beaver / MP 2.79, BV",R4,2.79, 38.281923°,-112.593832°,166.241.153.253:5000,"SR-153 EB @ Beaver / MP 2.79, BV",NA,NA,NA,FALSE,FALSE,3/1/2014,NA,NA,NA,NA,NA,FALSE,NA,100183,38.28203,-112.593692
194,100184,SR-95,SB,Hanksville / MP 0.37,HKV,WE,6480,"SR-95 SB @ Hanksville / MP 0.37, HKV",R4,0.37, 38.369190°,-110.702677°,166.140.120.137:5000,"SR-95 SB @ Hanksville / MP 0.37, HKV",NA,NA,NA,FALSE,FALSE,3/1/2014,NA,NA,NA,NA,NA,FALSE,NA,100184,38.36919,-110.702893
195,100185,SR-95,WB,Blanding / Shirttail Jct / MP 121.12,NA,SJ,6481,"SR-95 WB @ Blanding / Shirttail Jct / MP 121.12, SJ",R4,121.12, 37.573672°,-109.491209°,166.140.120.139:5000,"SR-95 WB @ Blanding / Shirttail Jct / MP 121.12, SJ",NA,NA,NA,FALSE,FALSE,3/1/2014,NA,NA,NA,NA,NA,FALSE,NA,100185,37.573991,-109.4917
197,100187,I-70,WB,Crescent Jct / MP 180.85,NA,GR,6532,"I-70 WB @ Crescent Jct / MP 180.85, GR",R4,180.85, 38.936647°,-109.839889°,10.252.5.205:161,"I-70 WB @ Crescent Jct / MP 180.85, GR",NA,NA,NA,FALSE,FALSE,8/1/2014,NA,NA,NA,NA,NA,FALSE,NA,100187,38.937405,-109.843118
198,100188,I-70,EB,Sage Flat Rd / MP 54.4,SLA,SE,6533,"I-70 EB @ Sage Flat Rd / MP 54.4, SLA",R4,54.4, 38.912881°,-111.886847°,10.252.5.142:161,"I-70 EB @ Sage Flat Rd / MP 54.4, SLA",NA,NA,NA,FALSE,FALSE,8/1/2014,NA,NA,NA,NA,NA,FALSE,NA,100188,38.91275,-111.886272
199,100189,I-15,NB,100 E / 950 N / MP 280.86,LHI,UT,6556,"I-15 NB @ 100 E / 950 N / MP 280.86, LHI",R3,280.86, 40.400090,-111.847815,10.212.12.74:161,"I-15 SB @ 100 E / 950 N / MP 280.86, LHI",NA,NA,NA,FALSE,FALSE,10/1/2014,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
200,100191,US-40,WB,Milepost 2.16,NA,SU,5813,"US-40 WB @ Milepost 2.16, SU",R2,2.16, 40.707084,-111.478445,10.252.201.14:502,"US-40 WB @ Milepost 2.16, SU (Chain-Up)",NA,NA,NA,FALSE,FALSE,1/1/2015,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
201,100192,I-80 / Parleys Canyon,EB,Chain Up Area East / MP 129.5,NA,SL,15086,"I-80 / Parleys Canyon EB @ Chain Up Area East / MP 129.5, SL",R2,129.5, 40.720452,-111.777474,10.202.20.142:502,"I-80 / Parleys Canyon EB @ Chain Up Area East / MP 129.5, SL (Chain-Up)",NA,NA,NA,FALSE,FALSE,1/1/2015,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
